city_id,date_key,Temperature,Humidity,Wind Speed,Rainfall,Visibility
176,14-02,1,59.8,15.4,51.1,10000
212,18-02,1,59.8,15.4,51.1,10000
250,09-02,1,59.8,15.4,51.1,10000
250,14-02,1,59.8,15.4,51,10000
264,06-02,1,59.8,15.4,51.1,10000
264,25-02,1,59.8,15.4,51.1,10000
269,05-02,1,59.8,15.4,51.1,10000
269,07-02,1,59.8,15.4,51,10000
290,14-02,1,59.8,15.4,51,10000
293,09-02,1,59.8,15.4,51.1,10000
364,12-02,1,59.8,15.4,51.1,10000
416,06-02,1,59.8,15.4,51,10000
476,09-02,1,59.8,15.4,51,10000
500,09-02,1,59.8,15.4,51.1,10000
521,06-02,1,59.8,15.4,51,10000
555,05-02,1,59.8,15.4,51.1,10000
557,16-02,1,59.8,15.4,51.1,10000
563,14-02,1,59.8,15.4,51.2,10000
572,05-02,1,59.8,15.4,51,10000
572,06-02,1,59.8,15.4,51.1,10000
784,08-02,1,59.8,15.4,51,10000
810,07-02,1,59.8,15.4,51,10000
810,09-02,1,59.8,15.4,51,10000
956,11-02,1,59.8,15.4,51,10000
986,12-02,1,59.8,15.4,51,10000
998,08-02,1,59.8,15.4,51.1,10000
1001,12-02,1,59.8,15.4,51,10000
1043,15-02,1,59.8,15.4,51,10000
1062,05-02,1,59.8,15.4,51.1,10000
1062,12-02,1,59.8,15.4,51.1,10000
1062,19-02,1,59.8,15.4,51.1,10000
1090,07-02,1,59.8,15.4,51,10000
1095,12-02,1,59.8,15.4,51,10000
1099,09-02,1,59.8,15.4,51.1,10000
1177,16-02,1,59.8,15.4,51.1,10000
1196,14-02,1,59.8,15.4,51.1,10000
1208,18-02,1,59.8,15.4,51.2,10000
1254,06-02,1,59.8,15.4,51.1,10000
1254,19-02,1,59.8,15.4,51.1,10000
1255,16-02,1,59.8,15.4,51.1,10000
1260,12-02,1,59.8,15.4,51.1,10000
1280,05-02,1,59.8,15.4,51.1,10000
1280,06-02,1,59.8,15.4,51,10000
1280,11-02,1,59.8,15.4,51.1,10000
1280,16-02,1,59.8,15.4,51.2,10000
1280,19-02,1,59.8,15.4,51.1,10000
1283,09-02,1,59.8,15.4,51.1,10000
1291,11-02,1,59.8,15.4,51.1,10000
1367,09-02,1,59.8,15.4,51.2,10000
